"MASTER_USER_KEY","TRANSACTION_CODE","HOLD_LIB_CODE","LOAN_LIB_CODE","RETURN_EXPIRE_DATE","LOAN_DATE","RETURN_PLAN_DATE","SEND_DATE","RECEIVE_DATE","FIRST_WORK","LAST_WORK","REC_KEY","SEND_REJECT_REASON","REQ_DATE","LOCAL_BOOK_KEY","LOCAL_KEY","TR_RETURN_DATE","APPENDIX_SEND_YN","APPENDIX_RCT_YN","APPENDIX_REGNO_LIST","MEMO","REQ_CANCEL_DATE","RETURN_SEND_DATE","EA_ISBN"
4003207833,"5","128074","728077",,2015-12-30,2016-01-13,2015-12-22,2015-12-22,"20151218 상호대차 신청","20151230 지역상호대차 타관반납",25486623985,,2015-12-18,10001179330,10002306464,,,,,,,,
4003207833,"5","128040","728077",,2015-12-30,2016-01-13,2015-12-19,2015-12-22,"20151218 상호대차 신청","20151230 지역상호대차 타관반납",25486623986,,2015-12-18,72756589,78789791,,,,,,,,
4388309450,"5","128007","128057",,2015-12-22,2016-01-05,2015-12-19,2015-12-22,"20151218 상호대차 신청","20160105 지역상호대차 타관반납",25486623987,,2015-12-18,74082456,78719239,,,,,,,,
91131319,"5","128053","728075",,2015-12-23,2016-01-22,2015-12-22,2015-12-23,"20151218 상호대차 신청","20151224 지역상호대차 타관반납",25486623988,,2015-12-18,10001268094,10002299441,,,,,,,,
256135405,"5","128085","128056",,2015-12-18,2016-01-07,2015-12-18,2015-12-18,"20151218 상호대차 신청","20151218 지역상호대차 타관대출",25486623989,,2015-12-18,75111193,78699396,,,,,,,,
256135405,"5","128057","128056",,2015-12-18,2016-01-07,2015-12-18,2015-12-18,"20151218 상호대차 신청","20151218 지역상호대차 타관대출",25486623990,,2015-12-18,75998494,78699488,,,,,,,,
256135405,"5","128085","128056",,2015-12-18,2016-01-07,2015-12-18,2015-12-18,"20151218 상호대차 신청","20151218 지역상호대차 타관대출",25486623991,,2015-12-18,77127761,78699541,,,,,,,,
4105392026,"5","128085","128056",,2015-12-18,2016-01-03,2015-12-18,2015-12-18,"20151218 상호대차 신청","20151218 지역상호대차 타관대출",25486623992,,2015-12-18,78335770,78701267,,,,,,,,
4105392026,"5","128085","128056",,2015-12-18,2016-01-03,2015-12-18,2015-12-18,"20151218 상호대차 신청","20151218 지역상호대차 타관대출",25486623993,,2015-12-18,77231036,78701281,,,,,,,,
4105392026,"5","128040","128056",,2015-12-18,2015-12-31,2015-12-18,2015-12-18,"20151218 상호대차 신청","20151218 지역상호대차 타관대출",25486623994,,2015-12-18,73806231,78701299,,,,,,,,
