"MASTER_USER_KEY","PAYMENT_KEY","TRANSACTION_CODE","LOAN_LIB_CODE","RETURN_LIB_CODE","LOAN_DATE","RETURN_PLAN_DATE","RETURN_DATE","DELAY_RETURN_DATE","RESERVATION_DATE","RESERVATION_CANCEL_DATE","RESERVATION_EXPIRE_DATE","STATUS","REG_NO","TITLE","AUTHOR","PUBLISHER","CALL_NO","TR_SEND_DATE","TR_RETURN_DATE","TR_SEND_WORKER","TR_RETURN_WORKER","FIRST_WORK","LAST_WORK","LOAN_KEY","PUBLISH_YEAR","VOL","LOCAL_KEY","DELIVERY_KEY","HOLD_LIB_CODE","APPENDIX_SEND_YN","APPENDIX_REGNO_LIST","MEMO","EA_ISBN"
70001005,,"3","121008","121004",2010-10-07,2010-10-21,2010-10-14,,,,,"1",EM0000461465,중국어 관용어사전=Chinese Idioms Dictionary,李亨蘭;王玉霞 공저,넥서스CHINESE,,,,,,,테스트임,70001014,,,88643306,,,,,,
70001005,,"2","121008","121004",2010-10-07,2010-10-21,2010-10-14,,,,,"1",SM0000585532,(고등 HSK가 쉬워지는) 중국어 성어 사전,이형란 지음,넥서스Chinese,,2010-10-14,2011-02-27,KOLAS2,대출용,,,70001010,,,88643300,,,,,,
70002947,,"2","121019","121025",2010-10-21,2010-11-04,2010-10-21,,,,,"1",EM0000046325,(동화로 읽는) 가시고기 1-2,조창인원작 ; 이원민 각색 ; 박철민 그림,파랑새어린이,C813.8-조82가-1,2010-10-21,2010-10-21,ECO8,ECO8,,,70003308,,,76738768,,,,,,
70002947,,"2","121019","121025",2010-10-21,2010-11-04,2010-10-21,,,,,"1",EM0000086435,(1·2·3학년이 꼭 가봐야 할)교과서 속 체험학습,김현진 ; 이경아 [공]지음,영진미디어,C373.5-김94교=2,2010-10-21,2010-10-21,ECO8,ECO8,,,70003304,,,76738765,,,,,,
70000702,,"2","121008","121010",2010-10-29,2010-11-12,2011-01-18,,,,,"1",CA0000574218,(엄마와 함께하는)놀이동요,김미규...[등]그림 ; 송지현 ; 이미정 [공]편집,사파리,JU 673.311-30,2011-01-25,2011-03-02,LIB003,대출용,,,70000711,,,84586591,,,,,,
70002291,,"2","128019","128021",2011-01-07,2011-01-21,2011-01-08,,,,,"1",EE0000001135,백야행. 1,히가시노 게이고 지음 ; 정태원 옮김,태동출판사,"833.6-히가시백-1",2011-01-08,2011-05-18,쑥골,관교,"20110107 1412 [128019]관교@192.168.103.13 IL_K10_LOC_B01_SERVICE>FrameManager.cpp#1925","20110518 1029 관교@192.168.103.51 복귀>KL_OTHER_RETURN_OFFER.#231",70041632,,,71837676,,,,,,
70015000,,"2","121020","121006",2011-01-18,2011-02-01,2011-01-21,,,,,"1",EM0000015947,여자,김정현 [지음],삼진기획,"813.6-김74여",2011-01-25,2011-01-25,SAHALIB,LIBRARY,,,70101937,,,71370837,,,,,,
70174515,,"2","126025","121023",2011-01-21,2011-02-05,2011-01-22,,,,,"1",HM0000009710,시가 내게로 왔다 : 김용택이 사랑하는 시,김용택 [편],마음산책,"811.6-87",2011-01-22,2011-01-26,KKJ79,LIB,"20110121 1059 [126025]LIB@172.31.1.218 IL_K10_LOC_B01_SERVICE>FrameManager.cpp#1925",,70177043,,,70852000,,,,,,
70004501,,"2","121011","121015",2010-11-03,2010-11-17,2011-01-22,,,,,"1",EM0000123180,차트의 기술,김정환 지음,이레미디어,"327.856-87",2011-02-05,2011-02-10,KOLAS,KOLAS,,,70005826,,,80299057,,,,,,
70050248,,"2","121006","121020",2010-12-26,2011-01-09,2011-01-22,,,,,"1",SH0000153826,황금교실 미스터리,퍼니C 콘티·만화,삼성출판사,"030-83-19",2011-01-25,2011-02-17,LIBRARY,SAHALIB,,,70050251,,,81362719,,,,,,
